Name,Address,City,State,Zip Code,Latitude,Longitude,Rating,Category
Parc du Mont-Royal,"1260 Chemin Remembrance Montreal, QC H3H 1A2 Canada",Montreal,QC,H3H 1A2,45.5008661,-73.5917993,4.7,Parks
Fitz Montréal Bike Tours,"1251 Rue Rachel E Maison des Cyclistes Montreal, QC H2J 2J9 Canada",Montreal,QC,H2J 2J9,45.527219,-73.573049,4.9,"Bike Rentals, Tours, Bikes"
Dyad,"80 Rue Prince-Arthur E Montreal, QC H2X 1B3 Canada",Montreal,QC,H2X 1B3,45.51458,-73.57165,4.8,"Bike Rentals, Motorcycle Dealers, Scooter Rentals"
Parc la Fontaine,"3819 Avenue Calixa-Lavallée Montreal, QC H2L 3A7 Canada",Montreal,QC,H2L 3A7,45.52705446977039,-73.56946468,4.5,Parks
Square Saint-Louis,"Rue Saint-Denis Montreal, QC H2X 3L1 Canada",Montreal,QC,H2X 3L1,45.516898,-73.570043,4.7,Parks
Jardin Botanique de Montréal,"4101 Rue Sherbrooke E Montreal, QC H1X 2B2 Canada",Montreal,QC,H1X 2B2,45.560055,-73.56339,4.3,Botanical Gardens
Parc Sir-Wilfrid-Laurier,"Avenue Laurier E Montreal, QC H2J 1G8 Canada",Montreal,QC,H2J 1G8,45.532297,-73.587525,4.5,Parks
Ça Roule Montréal,"27 Rue de la Commune E Montreal, QC H2Y 1H9 Canada",Montreal,QC,H2Y 1H9,45.50583316,-73.55312846,4.4,"Bikes, Bike Rentals, Bike tours"
Bicycletterie JR,"201 Rachel Rue E Montreal, QC H2W 1E4 Canada",Montreal,QC,H2W 1E4,45.519969,-73.5801195,4.1,"Bikes, Bike Rentals, Bike Repair/Maintenance"
Parc Jeanne-Mance,"4422 Avenue de l'Esplanade Montreal, QC H2W 2N4 Canada",Montreal,QC,H2W 2N4,45.51772,-73.58692,4,"Parks, Local Flavor"
Ma Bicyclette,"2985 Rue Saint-Patrick Montreal, QC H3K 1B9 Canada",Montreal,QC,H3K 1B9,45.47783594695981,-73.57466991,4.6,"Bike Rentals, Bike Repair/Maintenance"
Le Bateau-Mouche Au Vieux Port de Montréal,"55 Rue Saint-Paul O Montreal, QC H2Y 1Z1 Canada",Montreal,QC,H2Y 1Z1,45.50671355,-73.54994792,3.5,"Tours, Boating, Boat Charters"
Parc Jean-Drapeau,"Montreal, QC H3C 1A9 Canada",Montreal,QC,H3C 1A9,45.512366,-73.53428134,4.2,Parks
Place Émilie-Gamelin,"1500 Rue Berri Montreal, QC H2L 2C4 Canada",Montreal,QC,H2L 2C4,45.515356079472426,-73.56000363,4.1,Parks
Parc Jarry,"205 Rue Gary-Carter Montreal, QC H2R 2W1 Canada",Montreal,QC,H2R 2W1,45.533015,-73.627192,4.5,Parks
Place Jacques-Cartier,"Entre Rue St-Paul et Notre-Dame Vieux-Montréal Montreal, QC H2Y 3B2 Canada",Montreal,QC,H2Y 3B2,45.51091832,-73.55278015,4.1,Parks
Club Atwater,"3505 Avenue Atwater Montreal, QC H3H 1Y2 Canada",Montreal,QC,H3H 1Y2,45.49274,-73.58927,4.9,"Gyms, Sports Clubs"
Bixi,"5945 Avenue de Gaspé Montreal, QC H2S 2X4 Canada",Montreal,QC,H2S 2X4,45.5297317,-73.6018144,3.2,"Bike Sharing, Bike Rentals"
Canal Lachine,"Montreal, QC H3C Canada",Montreal,QC,H3C,45.46735443,-73.59088898,4.6,"Hiking, Parks"
Square Dorchester,"Montreal, QC H3B 4J5 Canada",Montreal,QC,H3B 4J5,45.49959848003886,-73.57105097,4,Parks
